Complaint_ID,Complaint_Date,District,Ward,Area,Issue_Type,Department,Priority,Status,Assigned_Officer,Resolution_Date,Citizen_Rating,Latitude,Longitude,Remarks
CMP0178,2026-05-04,East,Ward-14,Salt Lake,Water Leakage,Water Department,High,Resolved,Priya Sharma,2026-05-05,4.0,22.603429,88.257762,Inspection Pending
CMP0179,2026-04-21,East,Ward-22,Salt Lake,Garbage Overflow,Sanitation Department,Medium,In Progress,Neha Gupta,,,22.471727,88.314612,Team Assigned
CMP0180,2026-03-04,Central,Ward-23,Esplanade,Sewer Problem,Sewer Department,High,Open,Vikram Das,,,22.616376,88.449491,Work Completed
CMP0181,2026-03-14,North,Ward-12,Shyambazar,Drain Blockage,Sewer Department,High,Resolved,Vikram Das,2026-03-20,3.0,22.698421,88.270999,Inspection Pending
CMP0182,2026-06-11,North,Ward-24,Dum Dum,Illegal Dumping,Sanitation Department,High,In Progress,Neha Gupta,,,22.556103,88.376691,Material Awaited
CMP0183,2026-02-08,Central,Ward-13,Park Street,Garbage Overflow,Sanitation Department,Medium,In Progress,Pooja Sen,,,22.520729,88.430011,Verified
CMP0184,2026-05-17,West,Ward-7,Behala,Illegal Dumping,Sanitation Department,Medium,In Progress,Pooja Sen,,,22.583113,88.405028,Pending
CMP0185,2026-03-18,East,Ward-8,New Town,Street Light Fault,Electricity Department,Low,Resolved,Karan Paul,2026-03-26,4.0,22.455559,88.347815,Verified
CMP0186,2026-10-03,West,Ward-11,Santragachi,Water Leakage,Water Department,Medium,Open,Rohit Das,,,22.563598,88.39765,Pending
CMP0187,2026-06-27,West,Ward-1,Santragachi,Water Leakage,Water Department,Low,Resolved,Priya Sharma,2026-06-30,3.0,22.590643,88.26433,Work Completed
CMP0188,2026-05-29,North,Ward-27,Dum Dum,Illegal Dumping,Sanitation Department,High,In Progress,Neha Gupta,,,22.588007,88.297934,Repaired
CMP0189,2026-01-31,East,Ward-23,Salt Lake,Garbage Overflow,Sanitation Department,Medium,Open,Pooja Sen,,,22.576128,88.254167,Material Awaited
CMP0190,2026-02-23,West,Ward-15,Behala,Road Damage,Road Department,Medium,Open,Rajesh Kumar,,,22.608514,88.427431,Team Assigned
CMP0191,2026-03-01,South,Ward-5,Garia,Garbage Overflow,Sanitation Department,Low,Open,Pooja Sen,,,22.611569,88.309459,Pending
CMP0192,2026-03-31,Central,Ward-29,Park Street,Sewer Problem,Sewer Department,Low,Resolved,Anil Shaw,2026-04-02,5.0,22.619905,88.294935,Verified
CMP0193,2026-06-08,South,Ward-14,Tollygunge,Water Leakage,Water Department,Low,In Progress,Rohit Das,,,22.58736,88.415591,Inspection Pending
CMP0194,2026-06-20,East,Ward-29,Salt Lake,Park Maintenance,Parks Department,Medium,In Progress,Sonia Ghosh,,,22.68878,88.425962,Pending
CMP0195,2026-01-02,East,Ward-23,Salt Lake,Illegal Dumping,Sanitation Department,High,Resolved,Pooja Sen,2026-01-12,4.0,22.512876,88.35507,Pending
CMP0196,2026-04-04,North,Ward-8,Dum Dum,Park Maintenance,Parks Department,Medium,In Progress,Sonia Ghosh,,,22.454032,88.260825,Team Assigned
CMP0197,2026-04-26,North,Ward-23,Shyambazar,Water Leakage,Water Department,High,Open,Rohit Das,,,22.689723,88.377274,Inspection Pending
CMP0198,2026-04-05,Central,Ward-10,Esplanade,Water Leakage,Water Department,Low,In Progress,Priya Sharma,,,22.597373,88.292255,Inspection Pending
CMP0199,2026-02-26,North,Ward-9,Dum Dum,Pothole,Road Department,High,Open,Rajesh Kumar,,,22.650789,88.475662,Verified
CMP0200,2026-04-26,South,Ward-16,Garia,Drain Blockage,Sewer Department,Low,Resolved,Vikram Das,2026-04-30,5.0,22.55153,88.419852,Inspection Pending
CMP0201,2026-03-25,East,Ward-17,Salt Lake,Street Light Fault,Electricity Department,High,Open,Amit Singh,,,22.555254,88.485359,Inspection Pending
CMP0202,2026-04-09,South,Ward-1,Garia,Illegal Dumping,Sanitation Department,Low,Resolved,Pooja Sen,2026-04-14,3.0,22.615889,88.290684,Team Assigned
CMP0203,2026-01-18,East,Ward-10,New Town,Sewer Problem,Sewer Department,Low,In Progress,Vikram Das,,,22.622279,88.326396,Work Completed
CMP0204,2026-02-18,West,Ward-17,Santragachi,Street Light Fault,Electricity Department,Low,Open,Amit Singh,,,22.533191,88.296216,Team Assigned
CMP0205,2026-01-14,East,Ward-21,Salt Lake,Garbage Overflow,Sanitation Department,Low,In Progress,Pooja Sen,,,22.495476,88.320055,Verified
CMP0206,2026-01-30,East,Ward-11,New Town,Street Light Fault,Electricity Department,Low,Resolved,Karan Paul,2026-08-02,4.0,22.540317,88.315947,Repaired
CMP0207,2026-04-24,East,Ward-7,Salt Lake,Street Light Fault,Electricity Department,Medium,In Progress,Amit Singh,,,22.502427,88.315443,Verified
CMP0208,2026-05-02,North,Ward-29,Dum Dum,Sewer Problem,Sewer Department,High,Open,Anil Shaw,,,22.605042,88.491236,Material Awaited
CMP0209,2026-08-03,South,Ward-14,Garia,Street Light Fault,Electricity Department,High,Open,Karan Paul,,,22.563822,88.283162,Verified
CMP0210,2026-01-06,West,Ward-20,Behala,Traffic Signal Fault,Traffic Department,High,Resolved,Deepak Bose,2026-02-06,5.0,22.499283,88.304201,Material Awaited
CMP0211,2026-03-27,East,Ward-15,New Town,Road Damage,Road Department,High,In Progress,Rajesh Kumar,,,22.509769,88.392722,Team Assigned
CMP0212,2026-05-01,North,Ward-28,Dum Dum,Water Leakage,Water Department,Low,Resolved,Priya Sharma,2026-05-05,5.0,22.563642,88.340917,Inspection Pending
CMP0213,2026-05-13,Central,Ward-26,Park Street,Illegal Dumping,Sanitation Department,Low,Open,Neha Gupta,,,22.58277,88.274267,Pending
CMP0214,2026-04-19,East,Ward-26,New Town,Sewer Problem,Sewer Department,High,In Progress,Anil Shaw,,,22.54415,88.420898,Pending
CMP0215,2026-05-04,South,Ward-29,Tollygunge,Pothole,Road Department,High,In Progress,Rajesh Kumar,,,22.567856,88.338224,Verified
CMP0216,2026-03-16,West,Ward-21,Behala,Garbage Overflow,Sanitation Department,High,In Progress,Neha Gupta,,,22.588311,88.331771,Work Completed
CMP0217,2026-01-23,North,Ward-11,Dum Dum,Sewer Problem,Sewer Department,Low,In Progress,Anil Shaw,,,22.554557,88.299283,Work Completed
CMP0218,2026-04-18,West,Ward-17,Behala,Traffic Signal Fault,Traffic Department,Low,In Progress,Rahul Sen,,,22.615729,88.479659,Repaired
CMP0219,2026-03-18,South,Ward-27,Tollygunge,Drain Blockage,Sewer Department,Medium,Resolved,Vikram Das,2026-03-21,4.0,22.608018,88.324654,Material Awaited
CMP0220,2026-02-17,Central,Ward-2,Esplanade,Street Light Fault,Electricity Department,Medium,In Progress,Karan Paul,,,22.597373,88.386383,Team Assigned
CMP0221,2026-02-05,North,Ward-1,Shyambazar,Illegal Dumping,Sanitation Department,Low,Resolved,Pooja Sen,2026-04-05,5.0,22.662307,88.419279,Inspection Pending
CMP0222,2026-06-18,East,Ward-2,New Town,Park Maintenance,Parks Department,High,Open,Arjun Roy,,,22.658679,88.256664,Inspection Pending
CMP0223,2026-03-18,South,Ward-30,Garia,Sewer Problem,Sewer Department,Low,Resolved,Anil Shaw,2026-03-20,5.0,22.693122,88.291816,Work Completed
CMP0224,2026-07-02,East,Ward-27,New Town,Road Damage,Road Department,High,In Progress,Rajesh Kumar,,,22.636169,88.295192,Verified
CMP0225,2026-04-28,Central,Ward-12,Park Street,Street Light Fault,Electricity Department,Low,In Progress,Karan Paul,,,22.6721,88.305624,Pending
CMP0226,2026-01-26,West,Ward-13,Behala,Street Light Fault,Electricity Department,Medium,In Progress,Karan Paul,,,22.608753,88.363345,Pending
CMP0227,2026-03-20,East,Ward-5,New Town,Road Damage,Road Department,Medium,In Progress,Rajesh Kumar,,,22.647181,88.420366,Repaired
CMP0228,2026-04-04,Central,Ward-27,Park Street,Drain Blockage,Sewer Department,Low,Open,Anil Shaw,,,22.544189,88.395276,Material Awaited
CMP0229,2026-05-25,Central,Ward-24,Esplanade,Pothole,Road Department,Medium,Open,Suresh Roy,,,22.673705,88.495286,Inspection Pending
CMP0230,2026-03-20,North,Ward-25,Shyambazar,Sewer Problem,Sewer Department,Medium,In Progress,Anil Shaw,,,22.554214,88.477067,Repaired
CMP0231,2026-06-27,Central,Ward-2,Esplanade,Drain Blockage,Sewer Department,Low,In Progress,Vikram Das,,,22.462459,88.260009,Material Awaited
CMP0232,2026-03-27,East,Ward-2,New Town,Sewer Problem,Sewer Department,Medium,Resolved,Vikram Das,2026-03-30,4.0,22.5719,88.379785,Inspection Pending
CMP0233,2026-04-13,North,Ward-1,Dum Dum,Pothole,Road Department,Medium,Open,Suresh Roy,,,22.513327,88.290611,Inspection Pending
CMP0234,2026-06-17,East,Ward-20,New Town,Pothole,Road Department,Low,In Progress,Suresh Roy,,,22.501527,88.405304,Verified
CMP0235,2026-06-26,North,Ward-13,Dum Dum,Water Leakage,Water Department,High,Open,Rohit Das,,,22.671253,88.472738,Work Completed
CMP0236,2026-01-22,East,Ward-22,New Town,Drain Blockage,Sewer Department,Low,Open,Vikram Das,,,22.674705,88.496468,Inspection Pending
CMP0237,2026-05-29,East,Ward-29,New Town,Illegal Dumping,Sanitation Department,Medium,In Progress,Neha Gupta,,,22.50215,88.341896,Verified
CMP0238,2026-03-28,West,Ward-2,Behala,Sewer Problem,Sewer Department,Low,Resolved,Vikram Das,2026-04-07,5.0,22.571834,88.39616,Work Completed
CMP0239,2026-01-23,South,Ward-17,Tollygunge,Traffic Signal Fault,Traffic Department,Low,Resolved,Rahul Sen,2026-01-26,5.0,22.674111,88.272324,Pending
CMP0240,2026-06-07,Central,Ward-2,Esplanade,Sewer Problem,Sewer Department,Low,Open,Vikram Das,,,22.55021,88.286368,Inspection Pending
CMP0241,2026-03-15,Central,Ward-12,Park Street,Illegal Dumping,Sanitation Department,High,Open,Neha Gupta,,,22.479452,88.4151,Verified
CMP0242,2026-04-17,Central,Ward-25,Esplanade,Park Maintenance,Parks Department,High,In Progress,Arjun Roy,,,22.658119,88.310681,Inspection Pending
CMP0243,2026-01-15,West,Ward-19,Behala,Street Light Fault,Electricity Department,Low,Open,Karan Paul,,,22.482692,88.270646,Pending
CMP0244,2026-03-05,South,Ward-13,Tollygunge,Drain Blockage,Sewer Department,High,In Progress,Anil Shaw,,,22.617151,88.355896,Verified
CMP0245,2026-01-30,Central,Ward-21,Park Street,Park Maintenance,Parks Department,Low,Resolved,Sonia Ghosh,2026-02-04,5.0,22.546542,88.41691,Pending
CMP0246,2026-08-05,South,Ward-6,Garia,Street Light Fault,Electricity Department,Low,Open,Amit Singh,,,22.649719,88.490993,Work Completed
CMP0247,2026-03-06,Central,Ward-28,Park Street,Park Maintenance,Parks Department,Low,In Progress,Arjun Roy,,,22.584507,88.287768,Material Awaited
CMP0248,2026-03-26,North,Ward-4,Shyambazar,Garbage Overflow,Sanitation Department,High,Resolved,Neha Gupta,2026-03-29,5.0,22.48914,88.438352,Inspection Pending
CMP0249,2026-03-19,South,Ward-20,Garia,Garbage Overflow,Sanitation Department,Low,Resolved,Neha Gupta,2026-03-21,4.0,22.603618,88.340346,Pending
CMP0250,2026-11-06,East,Ward-30,New Town,Pothole,Road Department,High,Open,Suresh Roy,,,22.602123,88.369965,Material Awaited
CMP0251,2026-04-01,West,Ward-4,Behala,Garbage Overflow,Sanitation Department,Medium,In Progress,Neha Gupta,,,22.488913,88.425739,Pending
CMP0252,2026-05-02,East,Ward-30,Salt Lake,Street Light Fault,Electricity Department,Low,Resolved,Amit Singh,2026-02-14,4.0,22.476753,88.305577,Repaired
CMP0253,2026-06-24,West,Ward-23,Behala,Traffic Signal Fault,Traffic Department,High,Open,Rahul Sen,,,22.598897,88.455294,Repaired
CMP0254,2026-05-08,East,Ward-17,Salt Lake,Sewer Problem,Sewer Department,High,In Progress,Vikram Das,,,22.629137,88.32597,Inspection Pending
CMP0255,2026-05-05,West,Ward-20,Behala,Traffic Signal Fault,Traffic Department,Low,Resolved,Deepak Bose,2026-05-13,5.0,22.474904,88.426866,Inspection Pending
CMP0256,2026-03-19,South,Ward-6,Tollygunge,Road Damage,Road Department,High,Resolved,Rajesh Kumar,2026-03-23,5.0,22.619367,88.437318,Material Awaited
CMP0257,2026-05-07,North,Ward-3,Shyambazar,Pothole,Road Department,High,Open,Rajesh Kumar,,,22.517895,88.434501,Team Assigned
CMP0258,2026-03-05,Central,Ward-27,Park Street,Illegal Dumping,Sanitation Department,Low,In Progress,Neha Gupta,,,22.54769,88.443785,Work Completed
CMP0259,2026-07-02,South,Ward-23,Tollygunge,Sewer Problem,Sewer Department,Low,Open,Vikram Das,,,22.634289,88.479927,Work Completed
CMP0260,2026-01-15,East,Ward-20,Salt Lake,Sewer Problem,Sewer Department,Medium,Open,Anil Shaw,,,22.638585,88.292678,Inspection Pending
CMP0261,2026-07-04,South,Ward-8,Garia,Pothole,Road Department,Low,Open,Suresh Roy,,,22.535862,88.348708,Verified
CMP0262,2026-01-29,West,Ward-15,Behala,Park Maintenance,Parks Department,High,Resolved,Sonia Ghosh,2026-02-01,5.0,22.556449,88.41327,Material Awaited
CMP0263,2026-03-17,South,Ward-6,Garia,Street Light Fault,Electricity Department,High,Resolved,Karan Paul,2026-03-20,3.0,22.58632,88.428646,Team Assigned
CMP0264,2026-06-04,South,Ward-23,Tollygunge,Water Leakage,Water Department,High,In Progress,Rohit Das,,,22.592855,88.335776,Team Assigned
CMP0265,2026-06-24,West,Ward-24,Behala,Drain Blockage,Sewer Department,Medium,Open,Anil Shaw,,,22.476464,88.454761,Team Assigned
CMP0266,2026-03-10,East,Ward-7,Salt Lake,Water Leakage,Water Department,Medium,In Progress,Rohit Das,,,22.509788,88.27108,Inspection Pending
CMP0267,2026-01-03,West,Ward-16,Behala,Sewer Problem,Sewer Department,Medium,Open,Vikram Das,,,22.613552,88.310221,Repaired
CMP0268,2026-08-05,South,Ward-26,Tollygunge,Garbage Overflow,Sanitation Department,High,Open,Pooja Sen,,,22.583958,88.359166,Inspection Pending
CMP0269,2026-06-24,East,Ward-3,New Town,Illegal Dumping,Sanitation Department,High,Open,Pooja Sen,,,22.592923,88.481691,Material Awaited
CMP0270,2026-04-05,East,Ward-21,Salt Lake,Illegal Dumping,Sanitation Department,Low,Resolved,Neha Gupta,2026-05-10,3.0,22.493649,88.353239,Repaired
CMP0271,2026-05-17,East,Ward-25,New Town,Road Damage,Road Department,Medium,In Progress,Rajesh Kumar,,,22.658896,88.407035,Repaired
CMP0272,2026-03-30,East,Ward-19,Salt Lake,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-04-05,4.0,22.586088,88.408565,Pending
CMP0273,2026-01-14,North,Ward-6,Shyambazar,Sewer Problem,Sewer Department,Low,In Progress,Anil Shaw,,,22.607781,88.390947,Pending
CMP0274,2026-01-16,North,Ward-19,Dum Dum,Drain Blockage,Sewer Department,Medium,Open,Anil Shaw,,,22.525946,88.430134,Verified
CMP0275,2026-01-25,Central,Ward-4,Esplanade,Sewer Problem,Sewer Department,Low,Resolved,Vikram Das,2026-01-27,5.0,22.692809,88.470623,Repaired
CMP0276,2026-04-26,North,Ward-6,Shyambazar,Traffic Signal Fault,Traffic Department,Medium,Open,Rahul Sen,,,22.526756,88.254444,Work Completed
CMP0277,2026-01-27,East,Ward-11,New Town,Garbage Overflow,Sanitation Department,Medium,Open,Neha Gupta,,,22.646804,88.30024,Pending
CMP0278,2026-05-23,East,Ward-28,New Town,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-05-26,4.0,22.588404,88.465556,Pending
CMP0279,2026-06-29,East,Ward-28,Salt Lake,Street Light Fault,Electricity Department,High,Resolved,Karan Paul,2026-07-05,5.0,22.569492,88.487258,Verified
CMP0280,2026-04-13,Central,Ward-13,Park Street,Garbage Overflow,Sanitation Department,Medium,Open,Neha Gupta,,,22.640263,88.467033,Material Awaited
CMP0281,2026-03-13,Central,Ward-4,Esplanade,Pothole,Road Department,Medium,Open,Suresh Roy,,,22.453708,88.366041,Repaired
CMP0282,2026-02-23,North,Ward-28,Shyambazar,Illegal Dumping,Sanitation Department,Medium,Open,Neha Gupta,,,22.464718,88.484147,Inspection Pending
CMP0283,2026-12-04,South,Ward-28,Garia,Pothole,Road Department,Medium,Resolved,Suresh Roy,2026-04-14,5.0,22.69091,88.335591,Inspection Pending
CMP0284,2026-02-03,West,Ward-30,Behala,Park Maintenance,Parks Department,Medium,In Progress,Arjun Roy,,,22.462032,88.374106,Verified
CMP0285,2026-03-10,West,Ward-7,Behala,Illegal Dumping,Sanitation Department,Low,In Progress,Neha Gupta,,,22.567331,88.412833,Team Assigned
CMP0286,2026-02-17,North,Ward-11,Shyambazar,Sewer Problem,Sewer Department,High,In Progress,Anil Shaw,,,22.689155,88.258189,Repaired
CMP0287,2026-12-06,Central,Ward-5,Park Street,Water Leakage,Water Department,Medium,In Progress,Rohit Das,,,22.497115,88.271517,Team Assigned
CMP0288,2026-05-24,East,Ward-14,New Town,Water Leakage,Water Department,Medium,Open,Priya Sharma,,,22.452647,88.487621,Pending
CMP0289,2026-02-27,West,Ward-11,Santragachi,Street Light Fault,Electricity Department,Low,Open,Karan Paul,,,22.66697,88.397608,Repaired
CMP0290,2026-02-04,South,Ward-5,Garia,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.643467,88.457022,Team Assigned
CMP0291,2026-03-03,South,Ward-5,Garia,Sewer Problem,Sewer Department,High,Resolved,Vikram Das,2026-11-03,3.0,22.611248,88.283335,Pending
CMP0292,2026-03-25,East,Ward-27,New Town,Traffic Signal Fault,Traffic Department,High,Open,Deepak Bose,,,22.678423,88.275714,Material Awaited
CMP0293,2026-01-11,South,Ward-9,Tollygunge,Park Maintenance,Parks Department,Low,In Progress,Arjun Roy,,,22.683736,88.397258,Repaired
CMP0294,2026-06-26,West,Ward-27,Behala,Garbage Overflow,Sanitation Department,High,Resolved,Neha Gupta,2026-07-04,5.0,22.45013,88.381505,Work Completed
CMP0295,2026-05-26,South,Ward-25,Tollygunge,Illegal Dumping,Sanitation Department,Medium,Resolved,Pooja Sen,2026-05-31,3.0,22.500944,88.255094,Verified
CMP0296,2026-05-20,East,Ward-16,Salt Lake,Street Light Fault,Electricity Department,High,Resolved,Amit Singh,2026-05-27,3.0,22.512732,88.427269,Pending
CMP0297,2026-06-30,South,Ward-2,Tollygunge,Road Damage,Road Department,Medium,Open,Rajesh Kumar,,,22.654935,88.3455,Team Assigned
CMP0298,2026-05-13,South,Ward-4,Tollygunge,Pothole,Road Department,Medium,Open,Suresh Roy,,,22.696823,88.280023,Inspection Pending
CMP0299,2026-06-08,West,Ward-15,Santragachi,Pothole,Road Department,High,In Progress,Suresh Roy,,,22.59561,88.493504,Material Awaited
CMP0300,2026-01-01,South,Ward-22,Garia,Road Damage,Road Department,High,Resolved,Rajesh Kumar,2026-01-08,5.0,22.629595,88.408212,Repaired
CMP0301,2026-02-15,South,Ward-10,Tollygunge,Sewer Problem,Sewer Department,High,Resolved,Vikram Das,2026-02-19,5.0,22.526274,88.496394,Team Assigned
CMP0302,2026-01-23,Central,Ward-14,Park Street,Water Leakage,Water Department,High,In Progress,Priya Sharma,,,22.495012,88.382812,Inspection Pending
CMP0303,2026-05-17,North,Ward-5,Dum Dum,Water Leakage,Water Department,Medium,Open,Rohit Das,,,22.549173,88.479682,Work Completed
CMP0304,2026-04-04,East,Ward-14,Salt Lake,Illegal Dumping,Sanitation Department,High,Resolved,Neha Gupta,2026-04-09,3.0,22.694775,88.429528,Team Assigned
CMP0305,2026-04-24,North,Ward-23,Shyambazar,Street Light Fault,Electricity Department,Low,Resolved,Karan Paul,2026-04-30,3.0,22.540084,88.298603,Pending
CMP0306,2026-03-14,South,Ward-5,Garia,Illegal Dumping,Sanitation Department,Low,Resolved,Pooja Sen,2026-03-16,3.0,22.669386,88.4259,Material Awaited
CMP0307,2026-04-01,South,Ward-5,Tollygunge,Street Light Fault,Electricity Department,Medium,Open,Karan Paul,,,22.607526,88.315567,Material Awaited
CMP0308,2026-06-06,Central,Ward-27,Park Street,Garbage Overflow,Sanitation Department,Low,In Progress,Pooja Sen,,,22.571498,88.357844,Pending
CMP0309,2026-02-10,North,Ward-24,Dum Dum,Water Leakage,Water Department,Medium,In Progress,Rohit Das,,,22.683757,88.350056,Inspection Pending
CMP0310,2026-09-04,North,Ward-24,Shyambazar,Sewer Problem,Sewer Department,High,Open,Anil Shaw,,,22.527241,88.29981,Verified
CMP0311,2026-03-13,North,Ward-30,Dum Dum,Illegal Dumping,Sanitation Department,High,Resolved,Neha Gupta,2026-03-18,3.0,22.681085,88.288591,Inspection Pending
CMP0312,2026-03-23,Central,Ward-16,Esplanade,Street Light Fault,Electricity Department,Low,In Progress,Amit Singh,,,22.475345,88.41226,Material Awaited
CMP0313,2026-01-06,East,Ward-16,Salt Lake,Park Maintenance,Parks Department,Low,Resolved,Sonia Ghosh,2026-01-16,5.0,22.490647,88.45348,Repaired
CMP0314,2026-02-06,East,Ward-28,New Town,Sewer Problem,Sewer Department,Medium,Resolved,Vikram Das,2026-09-06,3.0,22.669018,88.44323,Inspection Pending
CMP0315,2026-05-10,North,Ward-20,Shyambazar,Drain Blockage,Sewer Department,High,In Progress,Anil Shaw,,,22.655725,88.268858,Work Completed
CMP0316,2026-04-22,Central,Ward-6,Esplanade,Road Damage,Road Department,High,Open,Suresh Roy,,,22.581432,88.39755,Inspection Pending
CMP0317,2026-02-10,South,Ward-11,Tollygunge,Illegal Dumping,Sanitation Department,Low,Open,Neha Gupta,,,22.671314,88.266452,Verified
CMP0318,2026-02-28,South,Ward-4,Garia,Street Light Fault,Electricity Department,Medium,Open,Karan Paul,,,22.638602,88.499149,Work Completed
CMP0319,2026-06-25,East,Ward-9,Salt Lake,Park Maintenance,Parks Department,High,Open,Arjun Roy,,,22.550381,88.434737,Pending
CMP0320,2026-01-24,South,Ward-24,Garia,Drain Blockage,Sewer Department,Medium,Open,Vikram Das,,,22.671759,88.262779,Inspection Pending
CMP0321,2026-05-23,South,Ward-21,Tollygunge,Illegal Dumping,Sanitation Department,Medium,Open,Neha Gupta,,,22.555845,88.28598,Work Completed
CMP0322,2026-02-19,East,Ward-1,Salt Lake,Sewer Problem,Sewer Department,Medium,In Progress,Vikram Das,,,22.547584,88.312549,Material Awaited
CMP0323,2026-02-14,South,Ward-8,Garia,Garbage Overflow,Sanitation Department,Low,Open,Pooja Sen,,,22.454308,88.375431,Repaired
CMP0324,2026-03-26,North,Ward-28,Shyambazar,Traffic Signal Fault,Traffic Department,High,In Progress,Rahul Sen,,,22.635977,88.469327,Repaired
CMP0325,2026-04-06,West,Ward-5,Behala,Park Maintenance,Parks Department,Low,Open,Sonia Ghosh,,,22.496389,88.283285,Team Assigned
CMP0326,2026-05-24,North,Ward-12,Dum Dum,Illegal Dumping,Sanitation Department,Low,Open,Pooja Sen,,,22.542327,88.373073,Team Assigned
CMP0327,2026-04-18,East,Ward-28,Salt Lake,Road Damage,Road Department,Low,In Progress,Rajesh Kumar,,,22.685132,88.467782,Material Awaited
CMP0328,2026-02-21,West,Ward-10,Santragachi,Road Damage,Road Department,High,In Progress,Rajesh Kumar,,,22.588159,88.362211,Repaired
CMP0329,2026-06-14,East,Ward-4,Salt Lake,Illegal Dumping,Sanitation Department,Low,Resolved,Neha Gupta,2026-06-23,5.0,22.684861,88.364316,Inspection Pending
CMP0330,2026-02-12,West,Ward-19,Behala,Street Light Fault,Electricity Department,Low,Resolved,Amit Singh,2026-02-21,5.0,22.658602,88.255743,Team Assigned
CMP0331,2026-02-13,West,Ward-25,Santragachi,Pothole,Road Department,Medium,Resolved,Suresh Roy,2026-02-23,3.0,22.619581,88.431277,Team Assigned
CMP0332,2026-01-06,North,Ward-29,Shyambazar,Drain Blockage,Sewer Department,Medium,In Progress,Anil Shaw,,,22.524352,88.407598,Inspection Pending
CMP0333,2026-02-27,Central,Ward-15,Esplanade,Illegal Dumping,Sanitation Department,Low,Open,Pooja Sen,,,22.546911,88.375499,Pending
CMP0334,2026-02-22,North,Ward-25,Shyambazar,Road Damage,Road Department,High,In Progress,Suresh Roy,,,22.514402,88.449491,Repaired
CMP0335,2026-04-04,North,Ward-5,Shyambazar,Sewer Problem,Sewer Department,Low,In Progress,Vikram Das,,,22.683592,88.37939,Pending
CMP0336,2026-05-24,North,Ward-7,Shyambazar,Park Maintenance,Parks Department,Low,Open,Arjun Roy,,,22.553307,88.251511,Repaired
CMP0337,2026-05-10,South,Ward-3,Garia,Drain Blockage,Sewer Department,High,Open,Anil Shaw,,,22.595274,88.306475,Work Completed
CMP0338,2026-01-18,West,Ward-17,Behala,Illegal Dumping,Sanitation Department,High,Open,Pooja Sen,,,22.588254,88.257337,Work Completed
CMP0339,2026-04-28,North,Ward-15,Shyambazar,Illegal Dumping,Sanitation Department,High,In Progress,Neha Gupta,,,22.656664,88.32355,Team Assigned
CMP0340,2026-11-04,East,Ward-10,New Town,Illegal Dumping,Sanitation Department,High,Open,Pooja Sen,,,22.59798,88.495552,Inspection Pending
CMP0341,2026-01-05,South,Ward-5,Garia,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-01-06,4.0,22.469155,88.472286,Material Awaited
CMP0342,2026-01-28,West,Ward-4,Behala,Illegal Dumping,Sanitation Department,Low,In Progress,Pooja Sen,,,22.56077,88.332031,Inspection Pending
CMP0343,2026-03-22,North,Ward-23,Dum Dum,Road Damage,Road Department,High,Resolved,Rajesh Kumar,2026-03-23,4.0,22.569318,88.330829,Verified
CMP0344,2026-02-04,West,Ward-25,Santragachi,Drain Blockage,Sewer Department,Medium,In Progress,Anil Shaw,,,22.486921,88.465893,Repaired
CMP0345,2026-05-22,South,Ward-29,Tollygunge,Park Maintenance,Parks Department,Medium,Open,Arjun Roy,,,22.639921,88.264777,Repaired
CMP0346,2026-04-04,West,Ward-17,Behala,Illegal Dumping,Sanitation Department,High,Resolved,Pooja Sen,2026-04-07,5.0,22.466919,88.346413,Pending
CMP0347,2026-05-22,South,Ward-23,Tollygunge,Pothole,Road Department,Low,Resolved,Suresh Roy,2026-05-30,5.0,22.577627,88.420917,Pending
CMP0348,2026-04-24,South,Ward-9,Tollygunge,Traffic Signal Fault,Traffic Department,High,In Progress,Deepak Bose,,,22.528679,88.345148,Repaired
CMP0349,2026-04-18,North,Ward-17,Dum Dum,Pothole,Road Department,High,In Progress,Rajesh Kumar,,,22.604184,88.439114,Repaired
CMP0350,2026-10-01,West,Ward-29,Santragachi,Illegal Dumping,Sanitation Department,Low,Resolved,Neha Gupta,2026-01-16,3.0,22.467378,88.427042,Team Assigned
CMP0351,2026-01-29,East,Ward-4,New Town,Traffic Signal Fault,Traffic Department,High,In Progress,Deepak Bose,,,22.643288,88.302285,Inspection Pending
CMP0352,2026-05-14,West,Ward-27,Santragachi,Road Damage,Road Department,High,Open,Suresh Roy,,,22.694832,88.450338,Material Awaited
CMP0353,2026-05-24,North,Ward-20,Dum Dum,Drain Blockage,Sewer Department,Low,In Progress,Anil Shaw,,,22.460043,88.480713,Material Awaited
CMP0354,2026-05-05,Central,Ward-13,Park Street,Traffic Signal Fault,Traffic Department,Medium,In Progress,Rahul Sen,,,22.463431,88.442812,Inspection Pending
CMP0355,2026-04-05,West,Ward-23,Behala,Sewer Problem,Sewer Department,Medium,Resolved,Anil Shaw,2026-07-04,4.0,22.682426,88.466808,Material Awaited
CMP0356,2026-01-01,Central,Ward-9,Esplanade,Pothole,Road Department,Low,Resolved,Rajesh Kumar,2026-01-09,3.0,22.596566,88.468539,Team Assigned
CMP0357,2026-01-14,South,Ward-15,Garia,Traffic Signal Fault,Traffic Department,High,Resolved,Rahul Sen,2026-01-23,3.0,22.626615,88.338213,Team Assigned
